#1 : frequency[Hz] = 3.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    0    0  -1.500e-01  -1.500e-01   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0    1  -1.500e-01  -1.400e-01   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0    2  -1.500e-01  -1.300e-01   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0    3  -1.500e-01  -1.200e-01   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0    4  -1.500e-01  -1.100e-01   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0    5  -1.500e-01  -1.000e-01   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0    6  -1.500e-01  -9.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0    7  -1.500e-01  -8.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0    8  -1.500e-01  -7.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0    9  -1.500e-01  -6.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   10  -1.500e-01  -5.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   11  -1.500e-01  -4.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   12  -1.500e-01  -3.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   13  -1.500e-01  -2.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   14  -1.500e-01  -1.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   15  -1.500e-01   0.000e+00   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   16  -1.500e-01   1.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   17  -1.500e-01   2.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   18  -1.500e-01   3.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   19  -1.500e-01   4.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   20  -1.500e-01   5.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   21  -1.500e-01   6.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   22  -1.500e-01   7.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
    0   23  -1.500e-01   8.000e-02   0.000e+00  1.000e+00  6.123e-17   -0.374  0.000e+00   -0.000  1.000e+00  179.626
