#1 : frequency[Hz] = 3.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    0    0  -1.500e-01  -1.500e-01   0.000e+00  4.712e-01  2.154e-17  120.741  1.898e-17  -54.973  4.712e-01  -66.611
    0    1  -1.500e-01  -1.400e-01   0.000e+00  4.635e-01  1.744e-17  127.168  2.075e-17  -28.694  4.635e-01  -59.166
    0    2  -1.500e-01  -1.300e-01   0.000e+00  4.376e-01  1.298e-17  129.540  2.496e-17  -11.882  4.376e-01  -50.644
    0    3  -1.500e-01  -1.200e-01   0.000e+00  4.079e-01  9.330e-18  126.967  2.899e-17   -3.761  4.079e-01  -40.187
    0    4  -1.500e-01  -1.100e-01   0.000e+00  3.902e-01  7.198e-18  122.580  3.253e-17    0.014  3.902e-01  -27.356
    0    5  -1.500e-01  -1.000e-01   0.000e+00  3.984e-01  6.341e-18  126.078  3.576e-17    2.323  3.984e-01  -13.108
    0    6  -1.500e-01  -9.000e-02   0.000e+00  4.390e-01  6.307e-18  142.970  3.864e-17    5.085  4.390e-01    0.274
    0    7  -1.500e-01  -8.000e-02   0.000e+00  5.079e-01  7.076e-18  167.482  4.088e-17    9.282  5.079e-01   11.078
    0    8  -1.500e-01  -7.000e-02   0.000e+00  5.951e-01  8.315e-18 -168.236  4.209e-17   15.078  5.951e-01   19.150
    0    9  -1.500e-01  -6.000e-02   0.000e+00  6.897e-01  9.377e-18 -144.726  4.195e-17   22.073  6.897e-01   25.128
    0   10  -1.500e-01  -5.000e-02   0.000e+00  7.819e-01  1.017e-17 -118.933  4.019e-17   29.547  7.819e-01   29.661
    0   11  -1.500e-01  -4.000e-02   0.000e+00  8.643e-01  1.153e-17  -90.753  3.646e-17   36.696  8.643e-01   33.172
    0   12  -1.500e-01  -3.000e-02   0.000e+00  9.316e-01  1.424e-17  -66.203  3.045e-17   42.821  9.316e-01   35.866
    0   13  -1.500e-01  -2.000e-02   0.000e+00  9.810e-01  1.773e-17  -49.879  2.206e-17   47.442  9.810e-01   37.811
    0   14  -1.500e-01  -1.000e-02   0.000e+00  1.011e+00  2.063e-17  -41.175  1.162e-17   50.291  1.011e+00   38.997
    0   15  -1.500e-01   0.000e+00   0.000e+00  1.021e+00  2.174e-17  -38.478  0.000e+00    0.000  1.021e+00   39.397
    0   16  -1.500e-01   1.000e-02   0.000e+00  1.011e+00  2.063e-17  -41.175  1.162e-17 -129.709  1.011e+00   38.997
    0   17  -1.500e-01   2.000e-02   0.000e+00  9.810e-01  1.773e-17  -49.879  2.206e-17 -132.558  9.810e-01   37.811
    0   18  -1.500e-01   3.000e-02   0.000e+00  9.316e-01  1.424e-17  -66.203  3.045e-17 -137.179  9.316e-01   35.866
    0   19  -1.500e-01   4.000e-02   0.000e+00  8.643e-01  1.153e-17  -90.753  3.646e-17 -143.304  8.643e-01   33.172
    0   20  -1.500e-01   5.000e-02   0.000e+00  7.819e-01  1.017e-17 -118.933  4.019e-17 -150.453  7.819e-01   29.661
    0   21  -1.500e-01   6.000e-02   0.000e+00  6.897e-01  9.377e-18 -144.726  4.195e-17 -157.927  6.897e-01   25.128
    0   22  -1.500e-01   7.000e-02   0.000e+00  5.951e-01  8.315e-18 -168.236  4.209e-17 -164.922  5.951e-01   19.150
    0   23  -1.500e-01   8.000e-02   0.000e+00  5.079e-01  7.076e-18  167.482  4.088e-17 -170.718  5.079e-01   11.078
    0   24  -1.500e-01   9.000e-02   0.000e+00  4.390e-01  6.307e-18  142.970  3.864e-17 -174.915  4.390e-01    0.274
    0   25  -1.500e-01   1.000e-01   0.000e+00  3.984e-01  6.341e-18  126.078  3.576e-17 -177.677  3.984e-01  -13.108
    0   26  -1.500e-01   1.100e-01   0.000e+00  3.902e-01  7.198e-18  122.580  3.253e-17 -179.986  3.902e-01  -27.356
    0   27  -1.500e-01   1.200e-01   0.000e+00  4.079e-01  9.330e-18  126.967  2.899e-17  176.239  4.079e-01  -40.187
    0   28  -1.500e-01   1.300e-01   0.000e+00  4.376e-01  1.298e-17  129.540  2.496e-17  168.118  4.376e-01  -50.644
    0   29  -1.500e-01   1.400e-01   0.000e+00  4.635e-01  1.744e-17  127.168  2.075e-17  151.306  4.635e-01  -59.166
    0   30  -1.500e-01   1.500e-01   0.000e+00  4.712e-01  2.154e-17  120.741  1.898e-17  125.027  4.712e-01  -66.611
    1    0  -1.400e-01  -1.500e-01   0.000e+00  4.764e-01  1.939e-17  158.864  2.241e-17  -28.107  4.764e-01  -38.820
    1    1  -1.400e-01  -1.400e-01   0.000e+00  4.738e-01  1.476e-17  166.242  2.356e-17   -0.416  4.738e-01  -29.681
    1    2  -1.400e-01  -1.300e-01   0.000e+00  4.499e-01  9.896e-18  167.765  2.766e-17   18.936  4.499e-01  -19.179
    1    3  -1.400e-01  -1.200e-01   0.000e+00  4.217e-01  6.275e-18  158.452  3.112e-17   29.885  4.217e-01   -6.603
    1    4  -1.400e-01  -1.100e-01   0.000e+00  4.079e-01  4.926e-18  142.262  3.346e-17   35.879  4.079e-01    7.979
    1    5  -1.400e-01  -1.000e-01   0.000e+00  4.226e-01  4.965e-18  142.763  3.513e-17   39.184  4.226e-01   22.915
    1    6  -1.400e-01  -9.000e-02   0.000e+00  4.695e-01  5.441e-18  164.025  3.672e-17   41.654  4.695e-01   35.820
    1    7  -1.400e-01  -8.000e-02   0.000e+00  5.428e-01  6.644e-18 -166.983  3.846e-17   44.741  5.428e-01   45.576
    1    8  -1.400e-01  -7.000e-02   0.000e+00  6.329e-01  8.301e-18 -141.218  4.013e-17   49.116  6.329e-01   52.573
    1    9  -1.400e-01  -6.000e-02   0.000e+00  7.308e-01  9.543e-18 -118.218  4.120e-17   54.612  7.308e-01   57.677
    1   10  -1.400e-01  -5.000e-02   0.000e+00  8.280e-01  1.004e-17  -93.330  4.093e-17   60.559  8.280e-01   61.585
    1   11  -1.400e-01  -4.000e-02   0.000e+00  9.174e-01  1.061e-17  -63.688  3.846e-17   66.201  9.174e-01   64.691
    1   12  -1.400e-01  -3.000e-02   0.000e+00  9.931e-01  1.260e-17  -34.697  3.306e-17   70.958  9.931e-01   67.151
    1   13  -1.400e-01  -2.000e-02   0.000e+00  1.050e+00  1.584e-17  -14.696  2.445e-17   74.491  1.050e+00   68.975
    1   14  -1.400e-01  -1.000e-02   0.000e+00  1.086e+00  1.874e-17   -4.219  1.304e-17   76.644  1.086e+00   70.107
    1   15  -1.400e-01   0.000e+00   0.000e+00  1.098e+00  1.988e-17   -1.028  0.000e+00    0.000  1.098e+00   70.492
    1   16  -1.400e-01   1.000e-02   0.000e+00  1.086e+00  1.874e-17   -4.219  1.304e-17 -103.356  1.086e+00   70.107
    1   17  -1.400e-01   2.000e-02   0.000e+00  1.050e+00  1.584e-17  -14.696  2.445e-17 -105.509  1.050e+00   68.975
    1   18  -1.400e-01   3.000e-02   0.000e+00  9.931e-01  1.260e-17  -34.697  3.306e-17 -109.042  9.931e-01   67.151
    1   19  -1.400e-01   4.000e-02   0.000e+00  9.174e-01  1.061e-17  -63.688  3.846e-17 -113.799  9.174e-01   64.691
    1   20  -1.400e-01   5.000e-02   0.000e+00  8.280e-01  1.004e-17  -93.330  4.093e-17 -119.441  8.280e-01   61.585
    1   21  -1.400e-01   6.000e-02   0.000e+00  7.308e-01  9.543e-18 -118.218  4.120e-17 -125.388  7.308e-01   57.677
    1   22  -1.400e-01   7.000e-02   0.000e+00  6.329e-01  8.301e-18 -141.218  4.013e-17 -130.884  6.329e-01   52.573
    1   23  -1.400e-01   8.000e-02   0.000e+00  5.428e-01  6.644e-18 -166.983  3.846e-17 -135.259  5.428e-01   45.576
    1   24  -1.400e-01   9.000e-02   0.000e+00  4.695e-01  5.441e-18  164.025  3.672e-17 -138.346  4.695e-01   35.820
    1   25  -1.400e-01   1.000e-01   0.000e+00  4.226e-01  4.965e-18  142.763  3.513e-17 -140.816  4.226e-01   22.915
    1   26  -1.400e-01   1.100e-01   0.000e+00  4.079e-01  4.926e-18  142.262  3.346e-17 -144.121  4.079e-01    7.979
    1   27  -1.400e-01   1.200e-01   0.000e+00  4.217e-01  6.275e-18  158.452  3.112e-17 -150.115  4.217e-01   -6.603
    1   28  -1.400e-01   1.300e-01   0.000e+00  4.499e-01  9.896e-18  167.765  2.766e-17 -161.064  4.499e-01  -19.179
    1   29  -1.400e-01   1.400e-01   0.000e+00  4.738e-01  1.476e-17  166.242  2.356e-17  179.584  4.738e-01  -29.681
    1   30  -1.400e-01   1.500e-01   0.000e+00  4.764e-01  1.939e-17  158.864  2.241e-17  151.893  4.764e-01  -38.820
    2    0  -1.300e-01  -1.500e-01   0.000e+00  4.660e-01  2.308e-17 -164.770  2.465e-17   -2.260  4.660e-01   -9.648
    2    1  -1.300e-01  -1.400e-01   0.000e+00  4.718e-01  1.713e-17 -152.464  2.530e-17   27.019  4.718e-01    0.750
    2    2  -1.300e-01  -1.300e-01   0.000e+00  4.549e-01  1.047e-17 -142.794  2.952e-17   48.763  4.549e-01   12.748
    2    3  -1.300e-01  -1.200e-01   0.000e+00  4.333e-01  4.694e-18 -142.169  3.299e-17   62.595  4.333e-01   26.831
    2    4  -1.300e-01  -1.100e-01   0.000e+00  4.260e-01  2.078e-18  170.938  3.487e-17   71.458  4.260e-01   42.463
